2024-06-06 07:48:19.059 [info] Experiment 'pythonCreateEnvOnPipInstall' is active
2024-06-06 07:48:19.059 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-06-06 07:48:19.059 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-06-06 07:48:19.059 [info] Experiment 'pythonTestAdapter' is active
2024-06-06 07:48:19.059 [info] Default formatter is set to null for workspace /home/ndao
2024-06-06 07:48:19.059 [info] Python interpreter path: /bin/python3
2024-06-06 07:48:19.218 [info] > pyenv which python
2024-06-06 07:48:19.218 [info] cwd: .
2024-06-06 07:48:23.510 [info] Starting Pylance language server.
2024-06-06 07:48:31.121 [info] Discover tests for workspace name: ndao - uri: /home/ndao/.vscode-server/extensions/.08b187f4-baa7-4642-83b9-23ba64e464d6/python_files/.vscode/settings.json
2024-06-06 07:48:36.888 [info] Discover tests for workspace name: ndao - uri: /home/ndao/.vscode-server/extensions/.08b187f4-baa7-4642-83b9-23ba64e464d6/python_files/pyproject.toml
2024-06-06 11:52:46.416 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-06-06 11:52:49.121 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-06-06 11:54:57.828 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-06-06 11:55:00.024 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-06-06 11:55:23.856 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-06-06 11:55:28.612 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-06-06 11:55:31.907 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-06-06 11:56:55.827 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-06-06 12:00:13.102 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-06-06 12:00:14.939 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
